,CAF-62T_TPM,CAF-97T_TPM,CAF_73T_TPM,CAF_98T_TPM
837,157.048047,90.529109,147.456151,171.038724
838,0.252034,0,0.380554,0.088398
839,16.383943,15.89781,11.945136,19.971278
840,43.754365,29.771719,37.2604,30.321327
841,20.988724,12.582685,10.777173,16.906381
842,4.581956,9.198529,13.400808,6.101967
843,7.111878,4.710782,4.969129,5.627902
844,0.26687,0.189001,0.203486,0.23232
845,1.174131,0.320528,1.641237,4.001662
846,0.007966,0,0,0
847,43.015511,42.689301,29.035961,33.966122
857,859.483436,930.535041,492.954287,446.161284
858,163.16261,142.078794,98.248365,97.125531
859,0,0,0,0
860,1.572556,3.878638,0.92453,1.283384
861,35.992823,55.8254,43.584414,53.509243
862,5.969792,4.633735,2.419903,2.774835
863,0,0,0,0
864,0,0.060649,0.087616,0.024579
865,25.981102,26.976923,23.329098,29.591647
866,0,0,0.12958,0.085235
867,4.839829,13.261274,10.735681,11.681645
868,10.864543,23.3358,20.695177,12.948151
869,0,0,0,0
871,240.134735,717.701827,806.491521,611.873559
873,144.74285,208.576442,209.067081,194.240314
874,52.746119,30.377962,25.84449,35.028742
875,15.548,12.318726,39.144734,45.51763
881,1.267942,1.582762,1.294765,0.673412
883,3.353626,7.103006,6.739244,8.211755
885,1.388559,0,0.488645,0.218821
886,0,0,0,0
887,0,0,0,0
889,28.143312,24.008594,17.751864,23.210425
890,10.749712,20.94379,8.14799,29.297056
891,19.114267,56.873767,22.994722,86.303715
892,49.733779,37.69219,43.973629,45.80691
894,14.281654,0.742594,3.751511,2.518678
895,0,0,0,0
896,27.414665,50.017302,62.262867,41.674275
897,0.116012,0.128281,0.094043,0.103038
898,5.48985,9.664715,10.354166,7.770996
899,0.946271,4.763884,2.101641,6.797344
900,249.856685,143.668988,152.915281,172.291105
901,29.780543,15.933782,24.923414,24.360946
902,52.064946,43.808468,56.76863,44.277755
904,18.36753,14.553741,15.062821,16.946585
905,26.9127,16.810774,16.591756,20.357312
908,122.789591,131.392278,131.965533,184.359396
909,0,0,0,0
910,0,0,0,0
911,0,0,0,0
912,0.059665,0.087688,0.368921,0.52932
913,0,0,0,0
914,0,0,0,0
915,0,0,0,0
916,0.110297,0,0,0
917,0,0,0,0
919,0,0,0.137307,0.048187
920,9.834045,152.588938,17.212892,16.565075
921,0,0,0,0
922,0,0,0,0
923,0,0,0,0
924,0.239232,1.096814,0.665358,0.056621
925,0,0.022365,0.017711,0
926,0,0,0,0
927,0,0,0,0
928,1029.026332,518.697214,522.402327,466.990236
929,7.416323,7.442424,15.036545,15.367594
930,0.02709,0,0,0
931,0,0,0,0
932,0,0,0,0
933,0.263544,2.688151,0.073967,0.401042
935,0.055233,0,0,0
936,0,0,0,0
938,0.037109,0,0.262051,0.071521
939,0.200019,0.124855,0,0.10028
940,0,0,0.066752,0.070584
941,0.028959,0.04178,0.208972,0.034526
942,0.058132,0,0.022932,0
943,0.135949,0,0.262907,0.335078
944,0,0,0,0.017105
